date;issues_found;vending_machine_id;full_name;work_description
2024-09-13 16:44:04;Зависла сессия оплаты;a977e322-192c-4567-9f5f-36f504bfc13d;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Замена дисплея
2024-04-25 06:59:09;Проблемы с термобумагой;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Чистка внутренних узлов
2024-07-12 19:03:57;Проблемы с термобумагой;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Ремонт купюроприемника
2024-04-25 17:14:31;Не закрывается люк обслуживания;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Загрузка новой товарной матрицы
2024-06-24 21:04:11;Не закрывается люк обслуживания;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Замена модема
2025-01-01 12:19:46;Зависла сессия оплаты;4daae871-71ac-44da-8b58-dcf1a2ae907a;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Загрузка новой товарной матрицы
2024-08-10 13:05:26;Не закрывается люк обслуживания;70f22c9f-de0a-41a9-9a53-cabf42688d47;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Пополнение товара
2024-05-24 17:35:03;Ошибка дисплея;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Замена дисплея
2025-03-11 03:33:16;Протечка в отсеке с напитками;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Настройка сетевого соединения
2025-02-15 15:55:12;Сбой системы оплаты;dc92a945-80cf-4c86-8927-97026c6e82da;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Чистка внутренних узлов
2024-04-22 10:03:38;Зависла сессия оплаты;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Обновление программного обеспечения
2024-12-24 11:06:11;;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;b38b5bfe-a0f9-481e-b2af-3c6bf43297d2;Проверка телеметрии
